# _raj2000,SDSS,_dej2000
46.07408,J030417.78+002827.3,0.47427
313.86508,J205527.62-011330.8,-1.22524
46.15237,J030436.57-000214.7,-0.03742
46.17001,J030440.80-000712.4,-0.12011
313.83026,J205519.26+003226.1,0.5406
46.23776,J030457.06+001300.5,0.21682
46.28573,J030508.57+002036.3,0.34343
46.29268,J030510.24-001853.6,-0.31489
46.28759,J030509.02+010536.7,1.09356
46.29419,J030510.60-010431.6,-1.07546
46.30473,J030513.13-010022.8,-1.00634
46.32659,J030518.38+001255.9,0.21555
313.67075,J205440.97-000303.9,-0.0511
46.33141,J030519.54-002041.4,-0.34484
313.6351,J205432.42+000231.0,0.04197
46.4015,J030536.36+002736.7,0.46021
46.45085,J030548.20-001036.3,-0.17677
313.51822,J205404.37+004638.7,0.77743
46.71841,J030652.42-004740.1,-0.79448
46.82913,J030718.99-004501.9,-0.75053
313.09323,J205222.37+000432.6,0.07572
46.96779,J030752.26+002834.8,0.47633
47.02278,J030805.46-005842.6,-0.97852
47.11882,J030828.51+002315.2,0.38756
47.18167,J030843.60-003134.3,-0.52621
47.19429,J030846.62-004359.2,-0.73311
47.49278,J030958.26-003400.1,-0.5667
47.59306,J031022.33+002536.6,0.42685
47.61727,J031028.14+010551.6,1.09768
47.64205,J031034.09+002938.7,0.49411
47.78749,J031108.99+001406.7,0.23521
47.88907,J031133.37-004434.5,-0.74292
47.95786,J031149.88+000930.4,0.15845
48.03801,J031209.12+000152.9,0.03137
48.04888,J031211.73-001048.7,-0.1802
311.82944,J204719.06+001914.8,0.3208
48.17211,J031241.30+010032.1,1.00892
311.78616,J204708.68+010646.0,1.1128
48.43571,J031344.57-002308.4,-0.38566
48.4384,J031345.21-001429.2,-0.24144
48.4493,J031347.83+004139.7,0.69436
48.67613,J031442.27-004428.0,-0.74112
48.89644,J031535.14-010058.5,-1.01628
48.95782,J031549.87-002005.8,-0.33496
49.13266,J031631.84-002805.3,-0.46814
49.36045,J031726.50-000539.2,-0.09423
49.45543,J031749.30+011337.2,1.22701
49.47682,J031754.43-004111.8,-0.68663
49.48779,J031757.07-001008.6,-0.16907
49.48363,J031756.07+010243.2,1.04536
310.45001,J204148.00-002805.9,-0.46832
49.58418,J031820.20-004928.7,-0.82464
49.64133,J031833.92+005531.7,0.92548
310.21701,J204052.08+003909.9,0.65276
49.80451,J031913.08+005724.7,0.95688
49.92932,J031943.03+003355.6,0.56546
49.94013,J031945.63-000437.9,-0.0772
49.94589,J031947.01+003504.4,0.58457
309.7793,J203907.03+003316.4,0.55456
50.2258,J032054.19+003740.4,0.62792
309.73801,J203857.11+004002.8,0.66745
50.53611,J032208.66-005010.5,-0.83627
50.64937,J032235.84-010307.7,-1.05215
50.69675,J032247.22+000857.6,0.14933
309.31155,J203714.77+010604.5,1.10125
50.74164,J032257.99+000314.9,0.05414
309.2608,J203702.59+010411.1,1.06978
50.84977,J032323.94+002643.5,0.44542
50.85774,J032325.85-003419.0,-0.57195
51.02711,J032406.50-010328.2,-1.05785
51.11497,J032427.59-000510.9,-0.08636
51.15551,J032437.32-002638.5,-0.44404
51.16989,J032440.77-004053.3,-0.68148
51.32769,J032518.64-003753.7,-0.6316
51.48043,J032555.30-003955.8,-0.6655
51.51018,J032602.44-004619.2,-0.772
51.64415,J032634.59-003852.0,-0.64778
52.00396,J032800.95-004057.2,-0.68258
52.05706,J032813.69+004829.4,0.80819
52.56964,J033016.71+003645.0,0.61251
52.60538,J033025.29+001625.6,0.27381
52.61988,J033028.77+004841.3,0.81148
52.62136,J033029.12+004507.4,0.75206
52.7084,J033050.01+003119.1,0.52199
52.75272,J033100.65+010008.7,1.00244
52.82029,J033116.86+003252.4,0.54792
53.17147,J033241.15-011100.9,-1.18358
53.18554,J033244.53-010407.4,-1.06875
53.18571,J033244.57-010912.8,-1.15355
53.31012,J033314.42+002437.3,0.41036
53.38141,J033331.53+004157.4,0.6993
53.48308,J033355.93-001530.2,-0.2584
53.52496,J033405.99+010540.2,1.09451
53.53457,J033408.30+010853.5,1.14821
53.54394,J033410.54+010612.0,1.10335
53.55578,J033413.39+010432.2,1.07562
53.57418,J033417.80+010503.2,1.08422
53.57859,J033418.86+010100.4,1.01679
53.75164,J033500.39-003931.8,-0.65885
53.77835,J033506.80+002013.6,0.33713
54.00995,J033602.38-002609.7,-0.43603
54.21932,J033652.63+010152.9,1.03139
54.55092,J033812.22+011008.8,1.16912
54.73883,J033857.32-000222.4,-0.03956
55.07104,J034017.05+010538.4,1.09402
55.12361,J034029.66+005220.9,0.8725
55.18505,J034044.41+010323.5,1.05655
55.96862,J034352.47+003651.6,0.61434
56.03916,J034409.39-002136.6,-0.36016
56.07751,J034418.60-002334.7,-0.39298
56.32996,J034519.19-003002.5,-0.50071
56.36825,J034528.38-002622.7,-0.43964
56.5179,J034604.29+005306.2,0.88507
56.55043,J034612.10+010715.9,1.12108
56.68347,J034644.03+000614.5,0.10404
56.69906,J034647.77-011355.3,-1.23202
56.76944,J034704.66-004615.4,-0.77096
56.84743,J034723.38+005231.7,0.87548
57.243,J034858.31-003115.9,-0.52109
57.24839,J034859.61+005533.4,0.92597
57.28278,J034907.86-010742.8,-1.12855
57.91902,J035140.56-003034.9,-0.50971
58.08188,J035219.65+002232.7,0.37576
58.35925,J035326.22+005030.4,0.8418
58.39492,J035334.78+004850.5,0.81404
